time,close
2011-01-03,11.709
2011-01-04,12.51
2011-01-05,12.99
2011-01-06,12.016
2011-01-07,12.1
2011-01-10,11.727
2011-01-11,12.36
2011-01-12,12.48
2011-01-13,11.737
2011-01-14,11.867
2011-01-18,11.71
2011-01-19,11.46
2011-01-20,11.6
2011-01-21,11.56
2011-01-24,11.188
2011-01-25,10.825
2011-01-26,11.975
2011-01-27,12.3
2011-01-28,11.84
2011-01-31,11.67
2011-02-01,11.77
2011-02-02,10.564
2011-02-03,11.53
2011-02-04,10.611
2011-02-07,11.54
2011-02-08,11.039
2011-02-09,11.7491
2011-02-10,11.67
2011-02-11,11.89
2011-02-14,11.001
2011-02-15,11.905
2011-02-16,11.82
2011-02-17,10.843
2011-02-18,11.5
2011-02-22,10.73
2011-02-23,11.01
2011-02-24,11.14
2011-02-25,11.11
2011-02-28,11.25
2011-03-01,9.875
2011-03-02,9.447
2011-03-03,10.26
2011-03-04,9.91
2011-03-07,9.391
2011-03-08,11.07
2011-03-09,10.87
2011-03-10,11.17
2011-03-11,10.452
2011-03-14,10.99
2011-03-15,9.95
2011-03-16,9.494
2011-03-17,9.87
2011-03-18,10.23
2011-03-21,9.466
2011-03-22,9.308
2011-03-23,9.899
2011-03-24,10.0125
2011-03-25,9.81
2011-03-28,9.224
2011-03-29,9.78
2011-03-30,9.94
2011-03-31,9.81
2011-04-01,9.82
2011-04-04,9.82
2011-04-05,9.71
2011-04-06,9.6
2011-04-07,8.758
2011-04-08,9.05
2011-04-11,9.43
2011-04-12,9.9
2011-04-13,9.57
2011-04-14,8.703
2011-04-15,8.609
2011-04-18,9.14
2011-04-19,9.13
2011-04-20,9.08
2011-04-21,9.05
2011-04-25,9.0
2011-04-26,9.97
2011-04-27,10.05
2011-04-28,10.06
2011-04-29,10.38
2011-05-02,10.47
2011-05-03,10.54
2011-05-04,10.48
2011-05-05,11.208
2011-05-06,11.22
2011-05-09,10.83
2011-05-10,10.79
2011-05-11,10.294
2011-05-12,10.86
2011-05-13,10.66
2011-05-16,11.0
2011-05-17,11.02
2011-05-18,10.173
2011-05-19,11.36
2011-05-20,11.51
2011-05-23,11.24
2011-05-24,11.09
2011-05-25,10.49
2011-05-26,10.19
2011-05-27,10.0
2011-05-31,10.07
2011-06-01,9.68
2011-06-02,8.954
2011-06-03,9.61
2011-06-06,8.684
2011-06-07,8.619
2011-06-08,8.507
2011-06-09,8.544
2011-06-10,8.582
2011-06-13,8.619
2011-06-14,9.51
2011-06-15,9.33
2011-06-16,8.749
2011-06-17,9.569
2011-06-20,9.019
2011-06-21,9.131
2011-06-22,8.926
2011-06-23,9.252
2011-06-24,9.45
2011-06-27,8.991
2011-06-28,9.39
2011-06-29,9.19
2011-06-30,8.535
2011-07-01,9.3
2011-07-05,9.12
2011-07-06,9.14
2011-07-07,9.4
2011-07-08,9.36
2011-07-11,8.99
2011-07-12,8.62
2011-07-13,8.7
2011-07-14,8.51
2011-07-15,8.42
2011-07-18,8.05
2011-07-19,8.2585
2011-07-20,8.14
2011-07-21,8.17
2011-07-22,8.09
2011-07-25,7.86
2011-07-26,7.465
2011-07-27,7.62
2011-07-28,7.63
2011-07-29,7.88
2011-08-01,7.81
2011-08-02,7.42
2011-08-03,7.57
2011-08-04,7.035
2011-08-05,6.98
2011-08-08,6.65
2011-08-09,7.1
2011-08-10,6.2174
2011-08-11,6.95
2011-08-12,6.99
2011-08-15,7.32
2011-08-16,7.65
2011-08-17,7.26
2011-08-18,7.38
2011-08-19,7.22
