,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,LUv Price,PE Ratio,PS Ratio,PB Ratio
2011-02-08,LUV,2010-12-31,2010,Q4,750000000.0,6281996832.0,242999888,0.25803883690974777,0.03868195010258165,0.09328238339996667,0.32399985066666664,-7.710525394736382,3538000000.0,15463000000,6237000000.0,1.221180030257186,1.2947049924357035,0.5419272085938752,0.4609587942921276,0.08096841430174763,0.038961021003687674,12.19,37.623474130983965,1.4553493490204932,1.465848965848966
2011-04-25,LUV,2011-03-31,2011,Q1,748000000.0,3103000000.0,5000000,0.21430873348372542,0.0016113438607798904,0.04221720915243313,0.0066844919786096255,-3.275,4465000000.0,16414000000,6587000000.0,1.1493804497475906,1.2228086278109225,0.5059966600880522,0.36860482769090636,0.1373918323971459,0.0007590708972218005,11.54,1726.384,2.7817982597486304,1.310447851829361
2011-08-05,LUV,2011-06-30,2011,Q2,780000000.0,4136000000.0,161000000,0.2205029013539652,0.03892649903288201,0.0640715667311412,0.2064102564102564,-5.638297872340425,4374.0,18945,7202.0,0.9452801805189921,1.019368183527642,0.5876145515134685,0.4501527353512913,0.13746181616217718,22354.901416273256,8.47,41.03478260869566,1.597340425531915,917328.5198555958
2011-11-08,LUV,2011-09-30,2011,Q3,792000000.0,4311000000.0,-140000000,0.22268615170494085,-0.032475063790303876,0.05729529111575041,-0.17676767676767677,-5.040816326530612,3656000000.0,17885000000,6485000000.0,0.7772556390977443,0.8635338345864662,0.6485736314572089,0.49653045489591363,0.1520431765612953,-0.02158828064764842,8.46,-47.85942857142857,1.5542379958246348,1.0332027756360833
2012-02-09,LUV,2011-12-31,2011,Q4,776000000.0,4108000000.0,152000000,0.21518987341772153,0.03700097370983447,0.044790652385589096,0.1958762886597938,-3.8333333333333335,3144000000.0,18068000000,6877000000.0,0.870063975292301,0.9585263622325171,0.5454413261596627,0.45179584120982985,0.09364548494983277,0.02210266104405991,9.79,49.98052631578947,1.8493281402142159,1.1047026319616111
2012-04-25,LUV,2012-03-31,2012,Q1,771000000.0,3991000000.0,98000000,0.18190929591581056,0.024555249310949635,0.008769731896767727,0.12710765239948119,-0.9210526315789473,3784000000.0,18826000000,7097000000.0,0.9288686348325738,1.0144640380424015,0.4659715372692687,0.4294772439058757,0.036494293363392986,0.013808651542905453,7.99,62.86010204081633,1.543545477323979,0.8680132450331126
2012-07-27,LUV,2012-06-30,2012,Q2,757000000.0,4616000000.0,228000000,0.25476603119584057,0.049393414211438474,0.10203639514731369,0.3011889035667107,-13.083333333333334,3256000000.0,18516000000,6840000000.0,0.8356299212598425,0.9234251968503937,0.4789473684210526,0.441374269005848,0.03757309941520468,0.03333333333333333,8.9,29.549561403508775,1.459553726169844,0.984985380116959
2012-10-26,LUV,2012-09-30,2012,Q3,739000000.0,4309000000.0,16000000,0.21397075887676956,0.0037131585054537017,0.04548619169180784,0.02165087956698241,-5.9393939393939394,3235000000.0,18813000000,7002000000.0,0.8267256993358825,0.9362044676997384,0.4607255069980006,0.42287917737789205,0.03784632962010854,0.0022850614110254213,8.74,403.67875,1.4989231840334185,0.9224307340759783
2013-02-07,LUV,2012-12-31,2012,Q4,733000000.0,4172000000.0,79000000,0.2073346116970278,0.01893576222435283,0.024928092042186004,0.1077762619372442,-3.1515151515151514,2970000000.0,18596000000,6992000000.0,0.8081720430107527,0.9090322580645162,0.45108695652173914,0.4123283752860412,0.03875858123569794,0.01129862700228833,11.61,107.72316455696202,2.039820230105465,1.2171238558352402
2013-05-02,LUV,2013-03-31,2013,Q1,725000000.0,4084000000.0,59000000,0.19441723800195887,0.01444662095984329,0.020323212536728696,0.08137931034482758,-3.074074074074074,3135000000.0,19197000000,6961000000.0,0.7455183884679357,0.8342265754943633,0.42924867116793564,0.38902456543600056,0.040224105731935064,0.008475793707800603,13.75,168.96186440677968,2.4409280117531833,1.4320859071972418
2013-07-31,LUV,2013-06-30,2013,Q2,714000000.0,4643000000.0,224000000,0.25651518414818003,0.04824466939478785,0.09885849666164118,0.3137254901960784,-14.806451612903226,3393000000.0,19382000000,6781000000.0,0.7618965218896003,0.84166810866932,0.4326795457897065,0.39389470579560537,0.038784839994101164,0.03303347588851202,13.83,44.083125,2.1267757915141074,1.4562188467777615
2013-10-30,LUV,2013-09-30,2013,Q3,703000000.0,4545000000.0,259000000,0.25764576457645766,0.05698569856985698,0.09196919691969196,0.3684210526315789,-12.294117647058824,3328000000.0,19364000000,7013000000.0,0.7666786873422287,0.8606202668589975,0.4099529445315842,0.37302153144160843,0.03693141308997576,0.03693141308997576,17.14,46.52285714285715,2.651137513751375,1.7181548552687866
2014-02-04,LUV,2013-12-31,2013,Q4,698000000.0,4427000000.0,212000000,0.27128981251411793,0.047887960243957535,0.09125818838942851,0.3037249283667622,-12.242424242424242,3152000000.0,19345000000,7336000000.0,0.702783650458069,0.7850599013389711,0.38440567066521264,0.29866412213740456,0.08574154852780808,0.028898582333696837,20.64,67.95622641509433,3.2542850688954146,1.9638386041439477
2014-05-01,LUV,2014-03-31,2014,Q1,698000000.0,4166000000.0,152000000,0.23523763802208353,0.03648583773403745,0.055928948631781085,0.2177650429799427,-7.516129032258065,3498000000.0,19976000000,7190000000.0,0.679397609066915,0.7473994721316566,0.3913769123783032,0.30208623087621694,0.08929068150208623,0.02114047287899861,24.32,111.67999999999999,4.074738358137302,2.3609680111265647
2014-07-30,LUV,2014-06-30,2014,Q2,690000000.0,5011000000.0,465000000,0.3141089602873678,0.0927958491319098,0.16224306525643584,0.6739130434782609,-25.40625,3994000000.0,20891000000,7516000000.0,0.6947488259570229,0.7566529102035008,0.3669505055880788,0.2864555614688664,0.08049494411921235,0.061868014901543374,28.85,42.80967741935484,3.972560367192177,2.64854976051091
2014-10-29,LUV,2014-09-30,2014,Q3,683000000.0,4800000000.0,329000000,0.300625,0.06854166666666667,0.13270833333333334,0.4816983894582723,-21.96551724137931,3560000000.0,20539000000,7429000000.0,0.7067949115730686,0.7733478125969594,0.36774801453762285,0.28604118993135014,0.08170682460627271,0.04428590658231256,34.14,70.87422492401217,4.8578375,3.138729304078611
2015-02-11,LUV,2014-12-31,2014,Q4,677000000.0,4628000000.0,190000000,0.32346585998271393,0.04105445116681072,0.14433880726015558,0.28064992614475626,-21.548387096774192,2988000000.0,19723000000,6775000000.0,0.6052676008779335,0.6630086105014351,0.3973431734317343,0.3592619926199262,0.03808118081180812,0.028044280442804426,43.5,154.99736842105264,6.363331892826275,4.346789667896679
2015-04-30,LUV,2015-03-31,2015,Q1,674000000.0,4414000000.0,453000000,0.3497961033076575,0.10262800181241505,0.18192115994562755,0.672106824925816,-25.903225806451612,3438000000.0,21163000000,6902000000.0,0.6749239461103868,0.7189627698102274,0.3893074471167777,0.3500434656621269,0.03926398145465083,0.06563314981164879,40.57,60.36242825607064,6.1948753964657906,3.9617762967255867
2015-07-31,LUV,2015-06-30,2015,Q2,665000000.0,5111000000.0,608000000,0.37194286832322443,0.11895910780669144,0.21287419291723733,0.9142857142857143,-40.2962962962963,3132000000.0,21075000000,7158000000.0,0.621000581733566,0.6684118673647469,0.37538418552668346,0.33682592903045544,0.038558256496227995,0.0849399273540095,36.22,39.615625,4.712639405204461,3.3649483095836827
2015-10-29,LUV,2015-09-30,2015,Q3,655000000.0,5318000000.0,584000000,0.3875517111696126,0.10981572019556224,0.23147799924783755,0.8916030534351145,-42.44827586206897,3096000000.0,21159000000,6968000000.0,0.6020609824957651,0.6455392433653303,0.38289322617680827,0.34170493685419057,0.04118828932261768,0.08381171067738231,45.81,51.37936643835617,5.642262128619782,4.3061925947187145
