time,close
2011-01-03,25.12
2011-01-04,25.5299
2011-01-05,25.36
2011-01-06,25.75
2011-01-07,25.94
2011-01-10,26.17
2011-01-11,25.67
2011-01-12,25.87
2011-01-13,25.95
2011-01-14,25.87
2011-01-18,25.04
2011-01-19,24.37
2011-01-20,24.19
2011-01-21,23.72
2011-01-24,24.12
2011-01-25,24.05
2011-01-26,25.77
2011-01-27,26.98
2011-01-28,25.84
2011-01-31,25.36
2011-02-01,25.19
2011-02-02,24.77
2011-02-03,25.6
2011-02-04,25.66
2011-02-07,26.43
2011-02-08,26.7799
2011-02-09,26.63
2011-02-10,26.55
2011-02-11,27.28
2011-02-14,26.96
2011-02-15,27.2
2011-02-16,27.45
2011-02-17,27.45
2011-02-18,26.94
2011-02-22,24.43
2011-02-23,22.79
2011-02-24,24.08
2011-02-25,23.93
2011-02-28,24.05
2011-03-01,23.0
2011-03-02,22.51
2011-03-03,23.0
2011-03-04,22.23
2011-03-07,23.3
2011-03-08,24.79
2011-03-09,24.35
2011-03-10,24.92
2011-03-11,24.71
2011-03-14,23.98
2011-03-15,23.61
2011-03-16,22.84
2011-03-17,22.16
2011-03-18,23.37
2011-03-21,23.96
2011-03-22,23.46
2011-03-23,23.1
2011-03-24,23.49
2011-03-25,23.48
2011-03-28,23.45
2011-03-29,22.879
2011-03-30,23.83
2011-03-31,23.0
2011-04-01,22.91
2011-04-04,22.74
2011-04-05,21.759
2011-04-06,21.25
2011-04-07,20.98
2011-04-08,19.82
2011-04-11,20.5
2011-04-12,21.7
2011-04-13,21.38
2011-04-14,20.89
2011-04-15,21.03
2011-04-18,21.23
2011-04-19,21.57
2011-04-20,20.99
2011-04-21,20.84
2011-04-25,22.04
2011-04-26,22.59
2011-04-27,22.76
2011-04-28,22.12
2011-04-29,22.82
2011-05-02,23.52
2011-05-03,23.89
2011-05-04,24.4
2011-05-05,25.82
2011-05-06,25.65
2011-05-09,25.36
2011-05-10,25.77
2011-05-11,25.88
2011-05-12,25.47
2011-05-13,25.57
2011-05-16,26.16
2011-05-17,26.38
2011-05-18,25.94
2011-05-19,26.71
2011-05-20,26.51
2011-05-23,26.25
2011-05-24,25.74
2011-05-25,25.1
2011-05-26,24.64
2011-05-27,24.27
2011-05-31,24.13
2011-06-01,23.3
2011-06-02,23.045
2011-06-03,22.73
2011-06-06,22.0
2011-06-07,21.91
2011-06-08,21.91
2011-06-09,21.9
2011-06-10,21.88
2011-06-13,22.38
2011-06-14,22.46
2011-06-15,22.68
2011-06-16,22.73
2011-06-17,24.03
2011-06-20,24.3
2011-06-21,24.52
2011-06-22,24.0
2011-06-23,25.14
2011-06-24,23.0
2011-06-27,23.27
2011-06-28,23.25
2011-06-29,22.91
2011-06-30,22.64
2011-07-01,23.03
2011-07-05,22.64
2011-07-06,22.35
2011-07-07,22.53
2011-07-08,22.86
2011-07-11,22.37
2011-07-12,21.7
2011-07-13,21.68
2011-07-14,21.19
2011-07-15,20.87
2011-07-18,20.44
2011-07-19,20.68
2011-07-20,20.27
2011-07-21,20.35
2011-07-22,19.95
2011-07-25,18.93
2011-07-26,18.76
2011-07-27,18.07
2011-07-28,17.15
2011-07-29,18.15
2011-08-01,18.0
2011-08-02,17.11
2011-08-03,18.12
2011-08-04,17.01
2011-08-05,16.82
2011-08-08,16.61
2011-08-09,18.47
2011-08-10,16.99
2011-08-11,17.81
2011-08-12,17.63
2011-08-15,18.27
2011-08-16,18.95
2011-08-17,18.96
2011-08-18,18.04
2011-08-19,17.25
2011-08-22,16.74
2011-08-23,17.4
2011-08-24,17.51
2011-08-25,17.01
2011-08-26,17.9
2011-08-29,18.59
2011-08-30,18.74
2011-08-31,18.58
2011-09-01,18.39
2011-09-02,18.08
2011-09-06,17.63
2011-09-07,18.54
2011-09-08,17.91
2011-09-09,17.75
2011-09-12,17.97
2011-09-13,19.29
2011-09-14,20.12
2011-09-15,20.33
2011-09-16,20.47
2011-09-19,20.77
2011-09-20,20.76
2011-09-21,19.81
2011-09-22,19.27
2011-09-23,20.45
2011-09-26,21.43
2011-09-27,20.44
2011-09-28,20.75
2011-09-29,20.5
2011-09-30,19.38
2011-10-03,17.11
2011-10-04,17.93
2011-10-05,18.99
2011-10-06,19.52
2011-10-07,18.9
2011-10-10,19.33
2011-10-11,19.75
2011-10-12,20.19
2011-10-13,20.92
2011-10-14,20.76
2011-10-17,20.28
2011-10-18,20.53
2011-10-19,20.05
2011-10-20,20.71
2011-10-21,20.42
2011-10-24,21.07
2011-10-25,20.04
2011-10-26,20.35
2011-10-27,20.11
2011-10-28,19.41
2011-10-31,19.32
2011-11-01,18.89
2011-11-02,18.8
2011-11-03,18.85
2011-11-04,18.71
2011-11-07,18.72
2011-11-08,18.19
2011-11-09,17.84
2011-11-10,17.31
2011-11-11,18.01
2011-11-14,18.23
2011-11-15,17.92
2011-11-16,16.93
2011-11-17,16.53
2011-11-18,16.6
2011-11-21,16.17
2011-11-22,16.01
2011-11-23,15.53
2011-11-25,15.8901
2011-11-28,16.56
2011-11-29,17.63
2011-11-30,17.94
2011-12-01,19.13
2011-12-02,19.25
2011-12-05,19.85
2011-12-06,20.13
2011-12-07,20.71
2011-12-08,19.69
2011-12-09,20.63
2011-12-12,20.79
2011-12-13,19.56
2011-12-14,19.85
2011-12-15,20.64
2011-12-16,21.23
2011-12-19,20.29
2011-12-20,20.68
2011-12-21,20.3
2011-12-22,20.27
2011-12-23,19.84
2011-12-27,19.2
2011-12-28,18.94
2011-12-29,18.86
2011-12-30,18.86
2012-01-03,18.89
2012-01-04,18.53
2012-01-05,18.39
2012-01-06,18.22
2012-01-09,17.92
2012-01-10,17.49
2012-01-11,17.99
2012-01-12,18.54
2012-01-13,18.45
2012-01-17,18.22
2012-01-18,18.26
2012-01-19,19.16
2012-01-20,19.31
2012-01-23,18.95
2012-01-24,19.41
2012-01-25,20.4
2012-01-26,21.73
2012-01-27,23.1
2012-01-30,22.99
2012-01-31,23.1
2012-02-01,23.2
2012-02-02,24.1001
2012-02-03,24.98
2012-02-06,24.23
2012-02-07,24.27
2012-02-08,23.87
2012-02-09,24.01
2012-02-10,23.75
2012-02-13,23.97
2012-02-14,23.58
2012-02-15,23.18
2012-02-16,23.67
2012-02-17,23.38
2012-02-21,21.2471
2012-02-22,20.96
2012-02-23,20.64
2012-02-24,20.42
2012-02-27,20.0601
2012-02-28,20.59
2012-02-29,20.64
2012-03-01,20.41
2012-03-02,20.95
2012-03-05,20.47
2012-03-06,19.87
2012-03-07,19.81
2012-03-08,19.95
2012-03-09,19.83
2012-03-12,19.61
2012-03-13,19.82
2012-03-14,19.43
2012-03-15,20.4
2012-03-16,19.96
2012-03-19,20.61
2012-03-20,21.01
2012-03-21,20.58
2012-03-22,19.95
2012-03-23,20.55
2012-03-26,20.98
2012-03-27,20.92
2012-03-28,21.865
2012-03-29,22.34
2012-03-30,21.52
2012-04-02,21.49
2012-04-03,22.01
2012-04-04,21.43
2012-04-05,21.4
2012-04-09,21.07
2012-04-10,20.59
2012-04-11,21.06
2012-04-12,21.52
2012-04-13,21.44
2012-04-16,22.29
2012-04-17,22.68
2012-04-18,22.7
2012-04-19,23.35
2012-04-20,22.92
2012-04-23,22.84
2012-04-24,22.84
2012-04-25,22.95
2012-04-26,22.13
2012-04-27,22.16
2012-04-30,21.91
2012-05-01,21.91
2012-05-02,21.65
2012-05-03,21.58
2012-05-04,22.28
2012-05-07,23.59
2012-05-08,23.91
2012-05-09,23.48
2012-05-10,23.77
2012-05-11,24.12
2012-05-14,24.01
2012-05-15,23.69
2012-05-16,23.69
2012-05-17,21.9
2012-05-18,20.95
2012-05-21,21.91
2012-05-22,21.84
2012-05-23,22.31
2012-05-24,23.52
2012-05-25,23.57
2012-05-29,23.89
2012-05-30,24.18
2012-05-31,25.17
2012-06-01,24.335
2012-06-04,22.53
2012-06-05,23.29
2012-06-06,23.54
2012-06-07,22.92
2012-06-08,23.5
2012-06-11,22.02
2012-06-12,22.05
2012-06-13,22.8
2012-06-14,22.83
2012-06-15,22.32
2012-06-18,23.02
2012-06-19,23.72
2012-06-20,24.55
2012-06-21,24.19
2012-06-22,24.27
2012-06-25,23.65
2012-06-26,23.84
2012-06-27,23.971
2012-06-28,24.26
2012-06-29,24.33
2012-07-02,24.82
2012-07-03,24.09
2012-07-05,23.62
2012-07-06,24.22
2012-07-09,23.91
2012-07-10,23.86
2012-07-11,24.78
2012-07-12,23.791
2012-07-13,24.15
2012-07-16,24.24
2012-07-17,23.6
2012-07-18,22.83
2012-07-19,22.03
2012-07-20,21.56
2012-07-23,21.521
2012-07-24,20.37
2012-07-25,20.39
2012-07-26,19.19
2012-07-27,19.05
2012-07-30,19.02
2012-07-31,18.88
2012-08-01,18.17
2012-08-02,18.15
2012-08-03,18.24
2012-08-06,18.48
2012-08-07,18.4
2012-08-08,18.31
