,Ticker,Report Date,Fiscal Year,Fiscal Period,Shares (Basic),Revenue,Net Income,Gross Profit Margin,Net Profit Margin,Operating Margin,EPS,Interest Coverage Ratio,"Cash, Cash Equivalents & Short Term Investments",Total Assets,Total Equity,Quick Ratio,Current Ratio,Debt-to-Equity Ratio,Long Term Debt-to-Equity Ratio,Short Term Debt-to-Equity Ratio,ROE,UAL Price,PE Ratio,PS Ratio,PB Ratio
2011-01-26,UAL,2010-12-31,2010,Q4,408000000.0,8506000000.0,-325000000,0.3356454267575829,-0.0382083235363273,0.04702562896778745,-0.7965686274509803,-1.593625498007968,8680000000.0,39598000000,1727000000.0,0.915697904310004,0.9525504151838672,8.762594093804285,7.220613781123335,1.5419803126809497,-0.18818760856977418,25.77,-32.35126153846154,1.23608746766988,6.08810654313839
2011-04-21,UAL,2011-03-31,2011,Q1,328000000.0,8202000000.0,-213000000,0.29565959522067786,-0.02596927578639356,0.013533284564740308,-0.649390243902439,-0.444,8887000000.0,40552000000,1912000000.0,0.9030560761135937,0.9476719042813897,7.627615062761507,6.33734309623431,1.2902719665271967,-0.11140167364016737,20.84,-32.09164319248826,0.8333967325042673,3.575062761506276
2011-07-26,UAL,2011-06-30,2011,Q2,330000000.0,9809000000.0,538000000,0.33611988989703334,0.054847588948924456,0.09725762055255378,1.6303030303030304,-3.8938775510204082,8579000000.0,39694000000,1942000000.0,0.9311236483309826,0.9709293214229745,7.00205973223481,6.215756951596292,0.786302780638517,0.27703398558187436,18.76,11.507063197026023,0.6311346722397799,3.1878475798146244
2011-10-27,UAL,2011-09-30,2011,Q3,330000000.0,10171000000.0,653000000,0.3372333103922918,0.0642021433487366,0.10372628060171074,1.9787878787878788,-4.773755656108597,8357000000.0,39054000000,2312000000.0,0.9546142208774584,1.007396201042192,5.6907439446366785,5.11159169550173,0.5791522491349481,0.28243944636678203,20.11,10.162787136294027,0.6524727165470455,2.870371972318339
2012-02-22,UAL,2011-12-31,2011,Q4,329000000.0,8928000000.0,-138000000,0.2902105734767025,-0.015456989247311828,0.03293010752688172,-0.4194528875379939,-1.380281690140845,7762000000.0,37988000000,1806000000.0,0.9111813235035984,0.9651571002281902,7.0514950166112955,6.325581395348837,0.7259136212624585,-0.07641196013289037,20.96,-49.96985507246377,0.7723835125448029,3.818294573643411
2012-04-27,UAL,2012-03-31,2012,Q1,330000000.0,8602000000.0,-448000000,0.24877935363868867,-0.05208091141594978,-0.012438967681934435,-1.3575757575757577,0.5071090047393365,7273000000.0,38199000000,1510000000.0,0.8502322601313471,0.9018901169309627,8.235761589403973,7.480794701986755,0.7549668874172185,-0.29668874172185433,22.16,-16.323214285714286,0.8501278772378517,4.8429139072847684
2012-07-26,UAL,2012-06-30,2012,Q2,331000000.0,9939000000.0,339000000,0.3129087433343395,0.034108059160881374,0.0785793339370158,1.0241691842900302,-3.79126213592233,7704000000.0,38694000000,1635000000.0,0.8336087740384616,0.8795072115384616,7.612844036697248,6.714984709480122,0.8978593272171254,0.20733944954128442,19.19,18.737138643067848,0.6390874333433947,3.884948012232416
2012-10-25,UAL,2012-09-30,2012,Q3,331000000.0,9909000000.0,6000000,0.3116358865677667,0.0006055101422948834,0.07205570693309113,0.01812688821752266,-3.606060606060606,6680000000.0,37905000000,1827000000.0,0.7734548518036303,0.8251512598606112,6.701696770662288,5.703338806787083,0.9983579638752053,0.003284072249589491,19.27,1063.0616666666665,0.6436946210515693,3.4911713191023535
2013-02-25,UAL,2012-12-31,2012,Q4,332000000.0,8702000000.0,-620000000,0.2687887841875431,-0.07124798896805332,-0.0029878188922086877,-1.8674698795180722,0.1319796954314721,6543000000.0,37628000000,481000000.0,0.7297550319862693,0.783975659229209,27.37214137214137,23.35135135135135,4.020790020790021,-1.288981288981289,26.3,-14.083225806451614,1.0034015168926684,18.153014553014554
2013-04-25,UAL,2013-03-31,2013,Q1,332000000.0,8721000000.0,-417000000,0.254443297786951,-0.0478156174750602,-0.019722508886595574,-1.2560240963855422,0.8775510204081632,5390000000.0,36842000000,94000000.0,0.6560657772261868,0.7095873409866584,129.22340425531914,116.45744680851064,12.76595744680851,-4.4361702127659575,30.9,-24.60143884892086,1.1763329893360852,109.13617021276596
2013-07-25,UAL,2013-06-30,2013,Q2,341000000.0,10001000000.0,469000000,0.3387661233876612,0.04689531046895311,0.0821917808219178,1.3753665689149561,-4.372340425531915,5964000000.0,37468000000,1217000000.0,0.7013228127175679,0.7442562079368763,9.832374691865242,8.987674609695974,0.8447000821692687,0.3853738701725555,34.3,24.93880597014925,1.1695130486951304,9.610764174198849
2013-10-24,UAL,2013-09-30,2013,Q3,357000000.0,10228000000.0,379000000,0.3289988267500978,0.03705514274540477,0.07029722330856472,1.061624649859944,-3.7842105263157895,5736000000.0,37260000000,1728000000.0,0.6936686766105998,0.7449222469057442,6.978587962962963,6.357060185185185,0.6215277777777778,0.2193287037037037,31.29,29.473693931398415,1.0921519358623386,6.464427083333334
2014-02-20,UAL,2013-12-31,2013,Q4,362000000.0,9329000000.0,140000000,0.3100010719262515,0.01500696752063458,0.042877050058955944,0.3867403314917127,-2.127659574468085,5121000000.0,36812000000,2984000000.0,0.6636656479722475,0.7187577434542001,4.158512064343164,3.660857908847185,0.4976541554959786,0.04691689008042895,45.69,118.1412857142857,1.7729424375602958,5.542821715817694
