Year,DAL_Total,LUV_Total,UAL_Total
1990,61747.25,8274.75,73335.25
1991,67665.41666666667,9259.833333333334,78423.0
1992,76680.08333333333,10931.416666666666,82367.58333333333
1993,72628.41666666667,12547.666666666666,82247.91666666667
1994,69863.58333333333,15015.0,76046.16666666667
1995,62673.0,18951.5,79885.66666666667
1996,64058.083333333336,22250.75,84193.58333333333
1997,68888.75,24177.916666666668,88887.25
1998,74008.83333333333,25106.833333333332,93701.33333333333
1999,77481.08333333333,27369.833333333332,97821.83333333333
2000,79536.33333333333,28672.916666666668,100780.66666666667
2001,80778.58333333333,30891.583333333332,98544.25
2002,70362.16666666667,33419.833333333336,82074.33333333333
2003,63127.25,33381.75,66864.58333333333
2004,60915.75,31675.833333333332,62106.416666666664
2005,55321.0,31542.25,58092.583333333336
2006,47713.083333333336,32167.25,56081.583333333336
2007,49720.5,33680.5,54823.75
2008,50176.333333333336,35007.916666666664,53028.583333333336
2009,49708.416666666664,35456.916666666664,47773.333333333336
2010,79959.83333333333,35099.75,46274.333333333336
2011,79546.83333333333,36790.25,46125.666666666664
2012,78582.0,44798.416666666664,87915.08333333333
2013,78589.33333333333,46012.416666666664,88116.33333333333
2014,80227.25,46270.833333333336,85616.75
2015,83663.58333333333,48793.416666666664,84028.75
2016,85199.25,53084.583333333336,86466.91666666667
2017,86630.33333333333,56195.166666666664,88296.33333333333
2018,88584.66666666667,59000.25,88504.41666666667
2019,90193.0,61122.75,90408.16666666667
2020,67492.5,60831.583333333336,79190.58333333333
2021,63665.25,57121.5,68597.75
