Month,Year,Full-time,Part-time,Grand Total
1,1990,"56,340","4,226","60,566"
2,1990,"56,413","4,184","60,597"
3,1990,"56,700","4,117","60,817"
4,1990,"56,630","4,112","60,742"
5,1990,"56,932","4,156","61,088"
6,1990,"57,478","4,197","61,675"
7,1990,"58,200","4,377","62,577"
8,1990,"58,220","4,433","62,653"
9,1990,"57,844","4,433","62,277"
10,1990,"58,190","4,433","62,623"
11,1990,"57,989","4,450","62,439"
12,1990,"58,413","4,500","62,913"
1,1991,"58,446","4,531","62,977"
2,1991,"58,938","4,608","63,546"
3,1991,"59,285","4,794","64,079"
4,1991,"59,716","4,980","64,696"
5,1991,"60,649","5,076","65,725"
6,1991,"61,392","5,120","66,512"
7,1991,"62,147","5,167","67,314"
8,1991,"62,179","5,216","67,395"
9,1991,"63,178","4,860","68,038"
10,1991,"63,927","4,882","68,809"
11,1991,"71,204","4,929","76,133"
12,1991,"71,512","5,249","76,761"
1,1992,"71,914","5,325","77,239"
2,1992,"71,915","5,365","77,280"
3,1992,"72,080","5,325","77,405"
4,1992,"71,949","5,337","77,286"
5,1992,"72,508","5,338","77,846"
6,1992,"72,507","5,339","77,846"
7,1992,"72,909","5,233","78,142"
8,1992,"72,433","5,066","77,499"
9,1992,"71,429","4,430","75,859"
10,1992,"71,013","4,328","75,341"
11,1992,"70,338","4,373","74,711"
12,1992,"69,370","4,337","73,707"
1,1993,"68,359","4,387","72,746"
2,1993,"68,047","4,350","72,397"
3,1993,"67,983","4,405","72,388"
4,1993,"67,916","4,573","72,489"
5,1993,"68,227","4,866","73,093"
6,1993,"68,379","5,154","73,533"
7,1993,"68,294","5,309","73,603"
8,1993,"68,155","5,395","73,550"
9,1993,"67,425","5,638","73,063"
10,1993,"66,822","5,741","72,563"
11,1993,"65,233","5,755","70,988"
12,1993,"65,212","5,916","71,128"
1,1994,"64,963","5,854","70,817"
2,1994,"65,698","4,966","70,664"
3,1994,"65,735","5,425","71,160"
4,1994,"67,750","5,610","73,360"
5,1994,"65,823","5,745","71,568"
6,1994,"65,595","5,817","71,412"
7,1994,"65,870","5,746","71,616"
8,1994,"65,428","5,102","70,530"
9,1994,"61,267","5,405","66,672"
10,1994,"61,424","6,006","67,430"
11,1994,"60,162","6,680","66,842"
12,1994,"59,327","6,965","66,292"
1,1995,"56,789","7,082","63,871"
2,1995,"56,632","7,230","63,862"
3,1995,"56,321","7,258","63,579"
