Month,Year,Full-time,Part-time,Grand Total
1,1990,"6,997",832,"7,829"
2,1990,"6,996",833,"7,829"
3,1990,"7,090",833,"7,923"
4,1990,"7,772",173,"7,945"
5,1990,"8,049",164,"8,213"
6,1990,"8,224",165,"8,389"
7,1990,"8,297",157,"8,454"
8,1990,"8,310",150,"8,460"
9,1990,"8,325",152,"8,477"
10,1990,"8,416",142,"8,558"
11,1990,"8,463",137,"8,600"
12,1990,"8,486",134,"8,620"
1,1991,"8,503",137,"8,640"
2,1991,"8,667",134,"8,801"
3,1991,"8,671",135,"8,806"
4,1991,"8,892",134,"9,026"
5,1991,"9,074",136,"9,210"
6,1991,"9,170",131,"9,301"
7,1991,"9,249",130,"9,379"
8,1991,"9,312",114,"9,426"
9,1991,"9,396",111,"9,507"
10,1991,"9,462",101,"9,563"
11,1991,"9,570",111,"9,681"
12,1991,"9,687",91,"9,778"
1,1992,"9,784",83,"9,867"
2,1992,"9,902",91,"9,993"
3,1992,"10,152",86,"10,238"
4,1992,"10,520",85,"10,605"
5,1992,"10,702",80,"10,782"
6,1992,"10,709",73,"10,782"
7,1992,"11,277",73,"11,350"
8,1992,"11,329",73,"11,402"
9,1992,"11,373",67,"11,440"
10,1992,"11,520",66,"11,586"
11,1992,"11,563",60,"11,623"
12,1992,"11,453",56,"11,509"
1,1993,"11,491",56,"11,547"
2,1993,"11,675",57,"11,732"
3,1993,"11,835",55,"11,890"
4,1993,"12,101",55,"12,156"
5,1993,"12,357",53,"12,410"
6,1993,"12,541",54,"12,595"
7,1993,"12,766",53,"12,819"
8,1993,"12,844",54,"12,898"
9,1993,"12,948",50,"12,998"
10,1993,"12,967",49,"13,016"
11,1993,"13,174",53,"13,227"
12,1993,"13,232",52,"13,284"
1,1994,"13,267",50,"13,317"
2,1994,"13,407",52,"13,459"
3,1994,"13,730",48,"13,778"
4,1994,"13,833",45,"13,878"
5,1994,"14,747",46,"14,793"
6,1994,"14,992",47,"15,039"
7,1994,"15,260",48,"15,308"
8,1994,"15,482",50,"15,532"
9,1994,"15,793",46,"15,839"
10,1994,"16,125",50,"16,175"
11,1994,"16,369",47,"16,416"
12,1994,"16,597",49,"16,646"
1,1995,"17,089",46,"17,135"
2,1995,"17,524",47,"17,571"
3,1995,"17,970",45,"18,015"
4,1995,"18,271",43,"18,314"
5,1995,"18,488",41,"18,529"
6,1995,"18,944",42,"18,986"
7,1995,"19,101",195,"19,296"
8,1995,"19,181",320,"19,501"
9,1995,"19,270",478,"19,748"
10,1995,"19,337",577,"19,914"
11,1995,"19,454",635,"20,089"
12,1995,"19,546",774,"20,320"
1,1996,"19,880",684,"20,564"
2,1996,"20,008",668,"20,676"
3,1996,"20,477",653,"21,130"
4,1996,"20,889",670,"21,559"
5,1996,"21,245",665,"21,910"
6,1996,"21,526",762,"22,288"
7,1996,"21,757",816,"22,573"
8,1996,"21,821",828,"22,649"
9,1996,"22,624",884,"23,508"
10,1996,"22,457",862,"23,319"
11,1996,"22,534",904,"23,438"
12,1996,"22,493",902,"23,395"
1,1997,"22,839",887,"23,726"
2,1997,"23,027",880,"23,907"
3,1997,"23,544",436,"23,980"
4,1997,"23,227",849,"24,076"
5,1997,"23,265",876,"24,141"
6,1997,"23,329",897,"24,226"
7,1997,"23,394",911,"24,305"
8,1997,"23,358",895,"24,253"
9,1997,"23,407",866,"24,273"
10,1997,"23,385",886,"24,271"
11,1997,"23,568",955,"24,523"
12,1997,"23,494",960,"24,454"
1,1998,"23,570",890,"24,460"
2,1998,"23,526",850,"24,376"
3,1998,"23,729",844,"24,573"
4,1998,"23,805",827,"24,632"
