Month,Year,Full-time,Part-time,Grand Total
1,1990,"65,664","5,457","71,121"
2,1990,"65,839","5,446","71,285"
3,1990,"66,070","5,445","71,515"
4,1990,"66,779","5,518","72,297"
5,1990,"67,217","5,675","72,892"
6,1990,"67,924","5,978","73,902"
7,1990,"68,331","5,966","74,297"
8,1990,"68,431","5,992","74,423"
9,1990,"68,472","5,714","74,186"
10,1990,"68,640","5,668","74,308"
11,1990,"69,091","5,681","74,772"
12,1990,"69,277","5,748","75,025"
1,1991,"69,448","5,657","75,105"
2,1991,"69,460","5,661","75,121"
3,1991,"70,730","5,670","76,400"
4,1991,"71,207","5,685","76,892"
5,1991,"72,036","5,835","77,871"
6,1991,"72,936","6,094","79,030"
7,1991,"73,259","6,229","79,488"
8,1991,"73,749","6,266","80,015"
9,1991,"73,537","6,159","79,696"
10,1991,"73,780","6,214","79,994"
11,1991,"73,987","6,235","80,222"
12,1991,"74,903","6,339","81,242"
1,1992,"74,518","6,345","80,863"
2,1992,"74,660","6,241","80,901"
3,1992,"74,850","6,345","81,195"
4,1992,"74,857","6,364","81,221"
5,1992,"75,012","6,510","81,522"
6,1992,"75,759","6,952","82,711"
7,1992,"76,161","7,250","83,411"
8,1992,"76,233","7,230","83,463"
9,1992,"75,970","7,100","83,070"
10,1992,"75,718","6,966","82,684"
11,1992,"76,335","7,122","83,457"
12,1992,"76,689","7,224","83,913"
1,1993,"75,992","7,062","83,054"
2,1993,"74,760","7,120","81,880"
3,1993,"74,602","7,034","81,636"
4,1993,"74,569","7,020","81,589"
5,1993,"74,654","7,296","81,950"
6,1993,"75,133","7,833","82,966"
7,1993,"75,474","7,910","83,384"
8,1993,"75,303","7,882","83,185"
9,1993,"74,748","7,611","82,359"
10,1993,"74,249","7,535","81,784"
11,1993,"74,138","7,539","81,677"
12,1993,"73,849","7,662","81,511"
1,1994,"72,762","7,361","80,123"
2,1994,"71,144","6,869","78,013"
3,1994,"69,599","6,703","76,302"
4,1994,"69,068","6,787","75,855"
5,1994,"68,361","6,791","75,152"
6,1994,"68,307","7,013","75,320"
7,1994,"68,172","7,199","75,371"
8,1994,"67,891","7,265","75,156"
9,1994,"67,925","7,079","75,004"
10,1994,"67,565","7,351","74,916"
11,1994,"67,775","7,499","75,274"
12,1994,"68,135","7,933","76,068"
1,1995,"68,357","7,734","76,091"
2,1995,"69,112","7,765","76,877"
3,1995,"70,053","7,821","77,874"
4,1995,"70,365","7,937","78,302"
5,1995,"71,144","8,021","79,165"
6,1995,"72,198","8,704","80,902"
7,1995,"72,536","8,843","81,379"
8,1995,"72,536","8,906","81,442"
9,1995,"72,450","8,686","81,136"
10,1995,"72,280","9,157","81,437"
11,1995,"72,660","9,203","81,863"
12,1995,"72,880","9,280","82,160"
1,1996,"73,234","9,250","82,484"
2,1996,"73,417","9,322","82,739"
3,1996,"73,896","9,245","83,141"
4,1996,"74,113","9,234","83,347"
5,1996,"74,057","9,972","84,029"
6,1996,"74,361","10,257","84,618"
7,1996,"74,375","10,302","84,677"
8,1996,"74,181","10,348","84,529"
9,1996,"74,292","10,238","84,530"
10,1996,"74,493","10,296","84,789"
11,1996,"74,922","10,510","85,432"
12,1996,"75,244","10,764","86,008"
1,1997,"75,395","10,794","86,189"
2,1997,"75,387","10,913","86,300"
3,1997,"75,655","10,788","86,443"
4,1997,"75,945","10,779","86,724"
5,1997,"76,632","11,161","87,793"
6,1997,"77,563","11,376","88,939"
7,1997,"78,583","11,439","90,022"
8,1997,"79,025","11,347","90,372"
9,1997,"79,145","11,179","90,324"
10,1997,"79,508","11,202","90,710"
11,1997,"79,847","11,263","91,110"
12,1997,"80,439","11,282","91,721"
1,1998,"80,663","11,406","92,069"
2,1998,"81,021","11,182","92,203"
3,1998,"81,460","11,121","92,581"
4,1998,"81,946","11,178","93,124"
5,1998,"82,460","11,182","93,642"
6,1998,"82,684","11,380","94,064"
7,1998,"82,750","11,477","94,227"
8,1998,"82,937","11,142","94,079"
9,1998,"83,218","11,052","94,270"
10,1998,"83,388","11,076","94,464"
11,1998,"83,886","10,904","94,790"
12,1998,"84,009","10,894","94,903"
1,1999,"84,181","10,815","94,996"
2,1999,"84,319","10,850","95,169"
3,1999,"85,113","11,126","96,239"
4,1999,"85,493","11,121","96,614"
5,1999,"86,163","11,269","97,432"
6,1999,"86,841","11,454","98,295"
7,1999,"87,523","11,298","98,821"
8,1999,"87,088","11,671","98,759"
