Month,Year,Full-time,Part-time,Grand Total
1,1990,"494,996","67,200","562,196"
2,1990,"496,152","67,771","563,923"
3,1990,"500,164","67,316","567,480"
4,1990,"505,083","66,239","571,322"
5,1990,"509,853","66,547","576,400"
6,1990,"514,497","67,176","581,673"
7,1990,"518,708","69,200","587,908"
8,1990,"519,133","69,082","588,215"
9,1990,"472,502","65,032","537,534"
10,1990,"514,698","67,883","582,581"
11,1990,"520,662","68,160","588,822"
12,1990,"521,597","67,329","588,926"
1,1991,"501,876","63,793","565,669"
2,1991,"500,062","63,993","564,055"
3,1991,"497,730","63,917","561,647"
4,1991,"501,503","64,386","565,889"
5,1991,"502,611","64,253","566,864"
6,1991,"506,485","65,422","571,907"
7,1991,"507,818","65,912","573,730"
8,1991,"506,321","66,012","572,333"
9,1991,"502,764","66,290","569,054"
10,1991,"486,720","66,622","553,342"
11,1991,"496,870","66,597","563,467"
12,1991,"499,794","67,788","567,582"
1,1992,"500,983","67,468","568,451"
2,1992,"500,545","68,024","568,569"
3,1992,"503,062","68,508","571,570"
4,1992,"507,434","69,347","576,781"
5,1992,"508,539","70,505","579,044"
6,1992,"509,613","73,268","582,881"
7,1992,"511,706","73,950","585,656"
8,1992,"513,350","73,606","586,956"
9,1992,"503,850","72,960","576,810"
10,1992,"500,388","73,388","573,776"
11,1992,"498,539","74,677","573,216"
12,1992,"495,397","74,219","569,616"
1,1993,"495,943","74,075","570,018"
2,1993,"493,784","75,160","568,944"
3,1993,"494,115","75,531","569,646"
4,1993,"494,014","75,291","569,305"
5,1993,"498,433","77,445","575,878"
6,1993,"500,546","79,048","579,594"
7,1993,"502,160","79,783","581,943"
8,1993,"501,742","80,369","582,111"
9,1993,"497,035","80,450","577,485"
10,1993,"495,262","80,965","576,227"
11,1993,"496,076","81,306","577,382"
12,1993,"495,615","82,146","577,761"
1,1994,"494,348","82,828","577,176"
2,1994,"489,802","85,333","575,135"
3,1994,"490,406","83,307","573,713"
4,1994,"498,700","87,253","585,953"
