Flights (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"815,032","53,708","868,740"
2002,11,"766,327","53,279","819,606"
2002,12,"781,653","57,219","838,872"
2002,TOTAL,"8,079,007","596,938","8,675,945"
2003,1,"785,160","57,667","842,827"
2003,2,"690,351","51,259","741,610"
2003,3,"797,194","58,926","856,120"
2003,4,"766,260","55,005","821,265"
2003,5,"789,397","55,265","844,662"
2003,6,"798,351","58,225","856,576"
2003,7,"831,619","62,957","894,576"
2003,8,"830,737","63,760","894,497"
2003,9,"781,804","54,017","835,821"
2003,10,"818,308","54,272","872,580"
2003,11,"765,842","53,817","819,659"
2003,12,"798,392","57,578","855,970"
2003,TOTAL,"9,453,415","682,748","10,136,163"
2004,1,"787,237","58,293","845,530"
2004,2,"761,618","55,822","817,440"
2004,3,"834,476","60,649","895,125"
2004,4,"817,899","60,455","878,354"
2004,5,"833,350","62,596","895,946"
2004,6,"836,916","64,256","901,172"
2004,7,"871,049","69,890","940,939"
2004,8,"882,979","68,332","951,311"
2004,9,"819,294","56,541","875,835"
2004,10,"861,291","58,659","919,950"
2004,11,"820,048","58,312","878,360"
2004,12,"836,232","63,469","899,701"
2004,TOTAL,"9,962,389","737,274","10,699,663"
2005,1,"807,338","64,803","872,141"
2005,2,"760,955","59,351","820,306"
2005,3,"866,593","68,802","935,395"
2005,4,"838,122","66,430","904,552"
2005,5,"872,961","68,225","941,186"
2005,6,"863,422","69,814","933,236"
2005,7,"887,084","74,818","961,902"
2005,8,"890,938","73,164","964,102"
2005,9,"814,935","61,812","876,747"
2005,10,"831,265","61,017","892,282"
2005,11,"797,460","59,265","856,725"
2005,12,"802,067","65,240","867,307"
2005,TOTAL,"10,033,140","792,741","10,825,881"
2006,1,"785,364","66,236","851,600"
2006,2,"715,843","60,661","776,504"
2006,3,"823,793","70,264","894,057"
2006,4,"794,390","68,537","862,927"
2006,5,"824,051","68,676","892,727"
2006,6,"820,310","71,424","891,734"
2006,7,"852,114","76,301","928,415"
2006,8,"866,551","74,735","941,286"
2006,9,"799,777","62,710","862,487"
2006,10,"828,218","63,105","891,323"
2006,11,"792,523","61,823","854,346"
2006,12,"805,058","68,978","874,036"
2006,TOTAL,"9,707,992","813,450","10,521,442"
2007,1,"803,924","69,634","873,558"
2007,2,"724,657","62,711","787,368"
2007,3,"830,373","72,367","902,740"
2007,4,"809,663","70,037","879,700"
2007,5,"844,074","70,437","914,511"
2007,6,"832,163","72,797","904,960"
2007,7,"863,658","77,533","941,191"
2007,8,"872,349","76,818","949,167"
2007,9,"805,066","64,283","869,349"
2007,10,"841,179","64,536","905,715"
2007,11,"804,635","64,236","868,871"
2007,12,"803,981","70,325","874,306"
2007,TOTAL,"9,835,722","835,714","10,671,436"
2008,1,"793,275","70,805","864,080"
2008,2,"746,679","66,402","813,081"
2008,3,"817,511","74,449","891,960"
2008,4,"799,664","70,840","870,504"
2008,5,"820,114","71,787","891,901"
2008,6,"815,914","72,783","888,697"
2008,7,"844,737","77,244","921,981"
2008,8,"823,517","75,242","898,759"
2008,9,"728,377","59,708","788,085"
2008,10,"758,538","60,997","819,535"
2008,11,"707,246","60,687","767,933"
2008,12,"720,062","65,422","785,484"
2008,TOTAL,"9,375,634","826,366","10,202,000"
2009,1,"709,933","66,971","776,904"
2009,2,"659,899","61,219","721,118"
2009,3,"747,363","69,764","817,127"
2009,4,"728,856","67,069","795,925"
2009,5,"748,984","63,841","812,825"
2009,6,"760,136","66,341","826,477"
2009,7,"793,994","71,164","865,158"
2009,8,"781,315","70,022","851,337"
2009,9,"709,793","57,696","767,489"
2009,10,"726,573","58,273","784,846"
2009,11,"694,749","58,724","753,473"
2009,12,"704,840","64,801","769,641"
2009,TOTAL,"8,766,435","775,885","9,542,320"
2010,1,"694,852","66,583","761,435"
2010,2,"622,999","59,833","682,832"
2010,3,"739,894","69,737","809,631"
2010,4,"722,566","66,054","788,620"
2010,5,"741,574","68,031","809,605"
2010,6,"751,326","70,427","821,753"
2010,7,"782,439","76,123","858,562"
2010,8,"781,423","72,823","854,246"
2010,9,"718,643","60,368","779,011"
2010,10,"737,224","62,454","799,678"
2010,11,"704,372","60,704","765,076"
2010,12,"702,581","66,014","768,595"
2010,TOTAL,"8,699,893","799,151","9,499,044"
2011,1,"681,152","68,426","749,578"
2011,2,"625,530","61,615","687,145"
2011,3,"754,669","71,925","826,594"
2011,4,"720,073","68,663","788,736"
2011,5,"743,778","67,680","811,458"
2011,6,"756,675","69,903","826,578"
2011,7,"783,811","76,305","860,116"
2011,8,"767,948","71,574","839,522"
2011,9,"706,395","61,645","768,040"
2011,10,"723,222","62,821","786,043"
2011,11,"682,660","60,778","743,438"
2011,12,"701,348","67,821","769,169"
2011,TOTAL,"8,647,261","809,156","9,456,417"
2012,1,"677,704","68,013","745,717"
2012,2,"647,027","64,878","711,905"
2012,3,"728,636","73,363","801,999"
2012,4,"706,994","68,925","775,919"
2012,5,"725,712","69,813","795,525"
2012,6,"735,084","72,160","807,244"
2012,7,"757,484","76,163","833,647"
2012,8,"753,441","74,196","827,637"
2012,9,"677,990","62,528","740,518"
2012,10,"694,712","62,790","757,502"
2012,11,"669,260","61,817","731,077"
2012,12,"670,793","67,858","738,651"
2012,TOTAL,"8,444,837","822,504","9,267,341"
2013,1,"662,014","68,653","730,667"
2013,2,"607,564","62,950","670,514"
2013,3,"710,137","73,801","783,938"
2013,4,"693,876","69,117","762,993"
2013,5,"721,429","70,699","792,128"
2013,6,"719,340","72,922","792,262"
2013,7,"751,473","77,429","828,902"
2013,8,"747,070","75,176","822,246"
2013,9,"683,379","62,011","745,390"
2013,10,"708,414","64,554","772,968"
2013,11,"655,776","63,286","719,062"
2013,12,"662,288","69,136","731,424"
2013,TOTAL,"8,322,760","829,734","9,152,494"
2014,1,"624,812","68,624","693,436"
2014,2,"577,191","63,469","640,660"
2014,3,"696,376","76,064","772,440"
2014,4,"676,337","71,580","747,917"
2014,5,"695,855","72,994","768,849"
2014,6,"701,992","76,431","778,423"
2014,7,"735,424","80,457","815,881"
2014,8,"723,997","76,481","800,478"
2014,9,"665,490","62,408","727,898"
2014,10,"693,925","63,369","757,294"
2014,11,"648,891","64,800","713,691"
2014,12,"666,264","71,191","737,455"
2014,TOTAL,"8,106,554","847,868","8,954,422"
2015,1,"634,734","69,893","704,627"
2015,2,"569,972","62,648","632,620"
2015,3,"683,892","72,926","756,818"
2015,4,"669,783","70,846","740,629"
2015,5,"690,116","71,597","761,713"
2015,6,"697,378","74,020","771,398"
2015,7,"732,753","78,536","811,289"
2015,8,"723,998","75,991","799,989"
2015,9,"658,392","62,367","720,759"
2015,10,"687,710","63,662","751,372"
2015,11,"651,176","63,492","714,668"
2015,12,"659,785","70,945","730,730"
2015,TOTAL,"8,059,689","836,923","8,896,612"
2016,1,"636,761","70,476","707,237"
2016,2,"612,176","65,905","678,081"
2016,3,"697,830","74,166","771,996"
2016,4,"675,633","71,002","746,635"
2016,5,"702,944","72,121","775,065"
2016,6,"713,634","75,070","788,704"
2016,7,"731,044","78,726","809,770"
2016,8,"731,988","74,906","806,894"
2016,9,"673,171","62,762","735,933"
2016,10,"688,347","63,260","751,607"
2016,11,"658,162","61,188","719,350"
2016,12,"662,154","72,280","734,434"
2016,TOTAL,"8,183,844","841,862","9,025,706"
2017,1,"645,169","71,242","716,411"
2017,2,"592,048","63,807","655,855"
