Passengers (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"7,079,446","570,431","7,649,877"
2002,11,"6,612,595","502,136","7,114,731"
2002,12,"7,220,998","531,834","7,752,832"
2002,TOTAL,"83,700,730","7,019,169","90,719,899"
2003,1,"6,256,572","501,708","6,758,280"
2003,2,"5,870,602","406,908","6,277,510"
2003,3,"6,962,353","491,280","7,453,633"
2003,4,"6,145,813","448,587","6,594,400"
2003,5,"6,330,578","482,973","6,813,551"
2003,6,"6,819,044","584,526","7,403,570"
2003,7,"7,186,864","631,965","7,818,829"
2003,8,"6,997,110","640,776","7,637,886"
2003,9,"5,728,266","532,769","6,261,035"
2003,10,"6,657,727","536,982","7,194,709"
2003,11,"6,222,544","501,685","6,724,229"
2003,12,"6,494,295","546,344","7,040,639"
2003,TOTAL,"77,671,768","6,306,503","83,978,271"
2004,1,"5,811,244","505,444","6,316,688"
2004,2,"5,945,233","435,337","6,380,570"
2004,3,"6,939,267","554,436","7,493,703"
2004,4,"6,697,058","602,306","7,299,364"
2004,5,"6,756,571","636,447","7,393,018"
2004,6,"7,227,106","727,669","7,954,775"
2004,7,"7,465,888","770,449","8,236,337"
2004,8,"6,990,016","735,386","7,725,402"
2004,9,"5,592,484","618,841","6,211,325"
2004,10,"6,719,259","613,865","7,333,124"
2004,11,"6,534,768","558,698","7,093,466"
2004,12,"6,585,438","630,844","7,216,282"
2004,TOTAL,"79,264,332","7,389,722","86,654,054"
2005,1,"6,181,166","617,932","6,799,098"
2005,2,"6,037,652","529,426","6,567,078"
2005,3,"7,451,564","715,546","8,167,110"
2005,4,"6,852,422","685,445","7,537,867"
2005,5,"6,918,818","743,673","7,662,491"
2005,6,"7,052,541","792,338","7,844,879"
2005,7,"7,392,260","839,396","8,231,656"
2005,8,"6,971,761","785,448","7,757,209"
2005,9,"5,590,403","682,944","6,273,347"
2005,10,"5,791,053","660,114","6,451,167"
2005,11,"5,729,451","597,837","6,327,288"
2005,12,"5,502,327","702,173","6,204,500"
2005,TOTAL,"77,471,418","8,352,272","85,823,690"
2006,1,"5,178,427","669,107","5,847,534"
2006,2,"4,832,741","562,043","5,394,784"
2006,3,"5,984,020","793,447","6,777,467"
2006,4,"5,359,953","784,461","6,144,414"
2006,5,"5,146,846","841,844","5,988,690"
2006,6,"5,621,749","1,034,440","6,656,189"
