Available Seat-miles (the number of seats and the distance flown in thousands (000)) (United Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"8,053,702","4,502,478","12,556,180"
2002,11,"7,326,292","4,290,445","11,616,737"
2002,12,"7,734,611","4,413,386","12,147,997"
2002,TOTAL,"92,601,222","52,458,789","145,060,010"
2003,1,"7,440,414","4,251,615","11,692,029"
2003,2,"6,610,564","3,711,828","10,322,392"
2003,3,"7,449,105","4,081,684","11,530,789"
2003,4,"6,922,462","3,306,998","10,229,459"
2003,5,"6,956,968","3,047,861","10,004,830"
2003,6,"7,309,463","3,519,090","10,828,553"
2003,7,"7,900,956","3,797,397","11,698,353"
2003,8,"7,764,395","4,021,751","11,786,146"
2003,9,"6,948,478","3,930,761","10,879,240"
2003,10,"7,267,791","4,087,500","11,355,291"
2003,11,"6,987,275","3,883,162","10,870,437"
2003,12,"7,406,953","4,012,112","11,419,065"
2003,TOTAL,"86,964,825","45,651,758","132,616,583"
2004,1,"7,329,291","4,041,490","11,370,781"
2004,2,"6,956,269","3,759,566","10,715,835"
2004,3,"7,640,669","4,029,509","11,670,178"
2004,4,"7,571,578","3,930,045","11,501,623"
2004,5,"7,779,495","3,962,634","11,742,129"
2004,6,"7,972,985","4,090,322","12,063,307"
2004,7,"8,323,849","4,322,893","12,646,742"
2004,8,"8,433,301","4,320,189","12,753,490"
2004,9,"7,538,654","4,146,340","11,684,994"
2004,10,"7,758,257","4,255,615","12,013,872"
2004,11,"6,980,214","4,254,887","11,235,101"
2004,12,"7,309,420","4,509,027","11,818,447"
2004,TOTAL,"91,593,981","49,622,517","141,216,499"
2005,1,"6,719,736","4,581,028","11,300,764"
2005,2,"6,162,569","4,132,704","10,295,273"
2005,3,"6,931,508","4,600,290","11,531,797"
2005,4,"6,545,082","4,462,606","11,007,688"
2005,5,"6,923,464","4,642,202","11,565,666"
2005,6,"7,059,521","4,571,210","11,630,731"
2005,7,"7,320,172","4,764,971","12,085,142"
2005,8,"7,266,834","4,746,153","12,012,987"
2005,9,"6,644,817","4,436,142","11,080,959"
2005,10,"6,865,427","4,542,946","11,408,372"
2005,11,"6,667,026","4,191,723","10,858,748"
2005,12,"7,015,355","4,501,083","11,516,438"
2005,TOTAL,"82,121,509","54,173,057","136,294,567"
2006,1,"6,792,577","4,550,372","11,342,949"
2006,2,"6,383,274","4,083,398","10,466,671"
2006,3,"7,248,165","4,548,358","11,796,523"
2006,4,"7,012,330","4,567,054","11,579,383"
2006,5,"7,236,285","4,612,466","11,848,751"
2006,6,"7,323,341","4,590,253","11,913,594"
2006,7,"7,560,104","4,787,748","12,347,851"
2006,8,"7,630,131","4,787,774","12,417,905"
2006,9,"6,855,865","4,512,628","11,368,492"
2006,10,"7,106,676","4,610,826","11,717,501"
2006,11,"6,797,264","4,413,034","11,210,298"
2006,12,"6,878,187","4,633,174","11,511,361"
2006,TOTAL,"84,824,198","54,697,083","139,521,280"
2007,1,"6,920,766","4,633,052","11,553,817"
2007,2,"6,178,485","4,148,628","10,327,113"
2007,3,"7,222,563","4,658,527","11,881,091"
2007,4,"6,847,500","4,671,155","11,518,655"
2007,5,"6,959,093","4,873,626","11,832,720"
2007,6,"6,938,726","4,883,255","11,821,981"
2007,7,"7,225,382","5,065,445","12,290,827"
2007,8,"7,268,243","5,081,348","12,349,591"
2007,9,"6,430,653","4,802,857","11,233,510"
2007,10,"6,748,986","4,890,797","11,639,783"
2007,11,"6,441,894","4,667,060","11,108,954"
2007,12,"6,539,046","5,020,799","11,559,844"
2007,TOTAL,"81,721,338","57,396,549","139,117,887"
2008,1,"6,159,360","5,046,114","11,205,473"
2008,2,"6,017,335","4,738,584","10,755,919"
2008,3,"6,831,218","5,107,928","11,939,146"
2008,4,"6,383,422","4,958,699","11,342,121"
2008,5,"6,562,811","5,128,712","11,691,523"
2008,6,"6,769,245","5,023,299","11,792,544"
2008,7,"7,012,118","5,141,941","12,154,059"
2008,8,"6,874,654","5,128,818","12,003,472"
2008,9,"5,719,255","4,557,697","10,276,952"
2008,10,"5,871,279","4,610,729","10,482,008"
2008,11,"5,338,991","4,176,479","9,515,470"
2008,12,"5,627,456","4,435,746","10,063,202"
2008,TOTAL,"75,167,145","58,054,747","133,221,892"
2009,1,"5,390,096","4,419,013","9,809,109"
2009,2,"5,156,931","3,814,369","8,971,300"
