Available Seat-miles (the number of seats and the distance flown in thousands (000)) (Southwest Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"6,006,555",,"6,006,555"
2002,11,"5,681,559",,"5,681,559"
2002,12,"5,899,788",,"5,899,788"
2002,TOTAL,"68,909,312",0,"68,909,312"
2003,1,"5,991,225",,"5,991,225"
2003,2,"5,382,904",,"5,382,904"
2003,3,"6,027,126",,"6,027,126"
2003,4,"5,909,157",,"5,909,157"
2003,5,"6,050,221",,"6,050,221"
2003,6,"5,937,934",,"5,937,934"
2003,7,"6,127,338",,"6,127,338"
2003,8,"6,119,325",,"6,119,325"
2003,9,"5,960,957",,"5,960,957"
2003,10,"6,238,401",,"6,238,401"
2003,11,"5,904,969",,"5,904,969"
2003,12,"6,154,327",,"6,154,327"
2003,TOTAL,"71,803,886",0,"71,803,886"
2004,1,"6,148,886",,"6,148,886"
2004,2,"5,883,000",,"5,883,000"
2004,3,"6,353,296",,"6,353,296"
2004,4,"6,150,773",,"6,150,773"
2004,5,"6,340,534",,"6,340,534"
2004,6,"6,286,798",,"6,286,798"
2004,7,"6,547,405",,"6,547,405"
2004,8,"6,643,194",,"6,643,194"
2004,9,"6,299,602",,"6,299,602"
2004,10,"6,761,369",,"6,761,369"
2004,11,"6,559,565",,"6,559,565"
2004,12,"6,902,921",,"6,902,921"
2004,TOTAL,"76,877,343",0,"76,877,343"
2005,1,"6,819,544",,"6,819,544"
2005,2,"6,311,432",,"6,311,432"
2005,3,"7,106,615",,"7,106,615"
2005,4,"6,962,595",,"6,962,595"
2005,5,"7,244,760",,"7,244,760"
2005,6,"7,133,855",,"7,133,855"
2005,7,"7,379,498",,"7,379,498"
2005,8,"7,456,473",,"7,456,473"
2005,9,"7,031,849",,"7,031,849"
2005,10,"7,316,987",,"7,316,987"
2005,11,"7,051,185",,"7,051,185"
2005,12,"7,383,104",,"7,383,104"
2005,TOTAL,"85,197,896",0,"85,197,896"
2006,1,"7,507,719",,"7,507,719"
2006,2,"6,850,387",,"6,850,387"
2006,3,"7,723,677",,"7,723,677"
2006,4,"7,471,419",,"7,471,419"
2006,5,"7,762,000",,"7,762,000"
2006,6,"7,653,128",,"7,653,128"
2006,7,"7,963,876",,"7,963,876"
2006,8,"8,091,256",,"8,091,256"
2006,9,"7,733,114",,"7,733,114"
2006,10,"8,134,336",,"8,134,336"
2006,11,"7,788,504",,"7,788,504"
2006,12,"7,992,104",,"7,992,104"
2006,TOTAL,"92,671,519",0,"92,671,519"
2007,1,"8,120,276",,"8,120,276"
2007,2,"7,257,974",,"7,257,974"
2007,3,"8,299,782",,"8,299,782"
2007,4,"8,188,976",,"8,188,976"
2007,5,"8,471,785",,"8,471,785"
2007,6,"8,316,418",,"8,316,418"
2007,7,"8,651,642",,"8,651,642"
2007,8,"8,743,212",,"8,743,212"
2007,9,"8,332,777",,"8,332,777"
2007,10,"8,566,372",,"8,566,372"
2007,11,"8,290,441",,"8,290,441"
2007,12,"8,405,032",,"8,405,032"
2007,TOTAL,"99,644,687",0,"99,644,687"
2008,1,"8,549,774",,"8,549,774"
2008,2,"7,908,752",,"7,908,752"
2008,3,"8,737,757",,"8,737,757"
2008,4,"8,626,155",,"8,626,155"
2008,5,"8,914,990",,"8,914,990"
2008,6,"8,796,286",,"8,796,286"
2008,7,"9,029,153",,"9,029,153"
2008,8,"8,882,898",,"8,882,898"
2008,9,"8,377,266",,"8,377,266"
2008,10,"8,812,910",,"8,812,910"
2008,11,"8,325,997",,"8,325,997"
2008,12,"8,319,052",,"8,319,052"
2008,TOTAL,"103,280,990",0,"103,280,990"
2009,1,"8,173,240",,"8,173,240"
2009,2,"7,392,029",,"7,392,029"
2009,3,"8,608,468",,"8,608,468"
2009,4,"8,464,220",,"8,464,220"
2009,5,"8,625,660",,"8,625,660"
2009,6,"8,465,165",,"8,465,165"
2009,7,"8,704,363",,"8,704,363"
2009,8,"8,344,604",,"8,344,604"
2009,9,"7,724,146",,"7,724,146"
2009,10,"7,987,848",,"7,987,848"
2009,11,"7,686,684",,"7,686,684"
2009,12,"7,833,493",,"7,833,493"
2009,TOTAL,"98,009,920",0,"98,009,920"
2010,1,"7,623,253",,"7,623,253"
2010,2,"6,752,063",,"6,752,063"
2010,3,"8,246,141",,"8,246,141"
2010,4,"8,216,168",,"8,216,168"
2010,5,"8,629,925",,"8,629,925"
2010,6,"8,627,773",,"8,627,773"
2010,7,"8,824,147",,"8,824,147"
2010,8,"8,651,296",,"8,651,296"
2010,9,"8,084,158",,"8,084,158"
2010,10,"8,390,686",,"8,390,686"
2010,11,"8,128,186",,"8,128,186"
2010,12,"8,271,141",,"8,271,141"
2010,TOTAL,"98,444,938",0,"98,444,938"
2011,1,"8,194,821",,"8,194,821"
