Flights (United Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"51,504","4,798","56,302"
2002,11,"46,067","4,525","50,592"
2002,12,"48,260","4,684","52,944"
2002,TOTAL,"584,385","55,898","640,283"
2003,1,"47,193","4,580","51,773"
2003,2,"41,776","4,018","45,794"
2003,3,"46,287","4,464","50,751"
2003,4,"42,749","3,748","46,497"
2003,5,"43,390","3,858","47,248"
2003,6,"44,730","4,238","48,968"
2003,7,"47,409","4,658","52,067"
2003,8,"46,975","4,796","51,771"
2003,9,"43,644","4,387","48,031"
2003,10,"45,746","4,500","50,246"
2003,11,"43,582","4,135","47,717"
2003,12,"45,727","4,322","50,049"
2003,TOTAL,"539,208","51,704","590,912"
2004,1,"44,862","4,373","49,235"
2004,2,"42,416","4,124","46,540"
2004,3,"46,260","4,439","50,699"
2004,4,"45,207","4,343","49,550"
2004,5,"46,183","4,414","50,597"
2004,6,"47,229","4,678","51,907"
2004,7,"49,445","4,934","54,379"
2004,8,"50,306","4,924","55,230"
2004,9,"45,137","4,615","49,752"
2004,10,"46,690","4,700","51,390"
2004,11,"42,781","4,496","47,277"
2004,12,"43,953","4,897","48,850"
2004,TOTAL,"550,469","54,937","605,406"
2005,1,"40,487","5,139","45,626"
2005,2,"36,947","4,642","41,589"
2005,3,"40,525","5,137","45,662"
2005,4,"38,477","5,076","43,553"
2005,5,"40,666","5,098","45,764"
2005,6,"40,624","5,054","45,678"
2005,7,"41,718","5,277","46,995"
2005,8,"41,723","5,252","46,975"
2005,9,"39,059","4,752","43,811"
2005,10,"40,481","4,932","45,413"
2005,11,"39,500","4,445","43,945"
2005,12,"40,621","5,028","45,649"
2005,TOTAL,"480,828","59,832","540,660"
2006,1,"39,616","5,225","44,841"
2006,2,"37,062","4,738","41,800"
2006,3,"41,874","5,275","47,149"
2006,4,"40,349","5,262","45,611"
2006,5,"42,131","5,274","47,405"
2006,6,"41,610","5,429","47,039"
2006,7,"42,593","5,787","48,380"
2006,8,"43,619","5,803","49,422"
2006,9,"40,264","5,116","45,380"
2006,10,"41,826","5,146","46,972"
2006,11,"40,356","5,062","45,418"
2006,12,"39,961","5,353","45,314"
2006,TOTAL,"491,261","63,470","554,731"
2007,1,"40,730","5,276","46,006"
2007,2,"35,901","4,740","40,641"
2007,3,"41,911","5,475","47,386"
2007,4,"39,940","5,310","45,250"
2007,5,"41,276","5,386","46,662"
2007,6,"40,370","5,538","45,908"
2007,7,"41,793","5,767","47,560"
2007,8,"42,221","5,768","47,989"
2007,9,"38,698","5,137","43,835"
2007,10,"40,600","5,289","45,889"
2007,11,"38,337","4,999","43,336"
2007,12,"37,883","5,476","43,359"
2007,TOTAL,"479,660","64,161","543,821"
2008,1,"36,672","5,574","42,246"
2008,2,"35,408","5,209","40,617"
2008,3,"39,680","5,630","45,310"
2008,4,"38,296","5,452","43,748"
2008,5,"39,291","5,497","44,788"
2008,6,"39,314","5,534","44,848"
2008,7,"40,267","5,723","45,990"
2008,8,"39,694","5,777","45,471"
2008,9,"34,238","4,878","39,116"
2008,10,"35,313","4,903","40,216"
2008,11,"30,843","4,506","35,349"
2008,12,"31,894","4,907","36,801"
2008,TOTAL,"440,910","63,590","504,500"
2009,1,"30,875","4,917","35,792"
2009,2,"29,456","4,376","33,832"
2009,3,"33,946","4,977","38,923"
2009,4,"30,970","5,035","36,005"
2009,5,"31,517","4,749","36,266"
2009,6,"32,563","4,918","37,481"
2009,7,"33,582","5,175","38,757"
2009,8,"33,285","5,158","38,443"
2009,9,"29,685","4,445","34,130"
2009,10,"30,299","4,391","34,690"
2009,11,"27,613","4,005","31,618"
2009,12,"28,448","4,318","32,766"
2009,TOTAL,"372,239","56,464","428,703"
2010,1,"27,713","4,541","32,254"
2010,2,"24,772","3,912","28,684"
2010,3,"29,373","4,632","34,005"
2010,4,"28,081","4,237","32,318"
2010,5,"28,740","4,665","33,405"
2010,6,"29,090","4,692","33,782"
2010,7,"30,224","4,973","35,197"
2010,8,"30,444","4,866","35,310"
2010,9,"27,980","4,362","32,342"
2010,10,"29,057","4,535","33,592"
2010,11,"27,263","4,133","31,396"
2010,12,"27,172","4,597","31,769"
2010,TOTAL,"339,909","54,145","394,054"
2011,1,"25,702","4,738","30,440"
2011,2,"23,216","4,242","27,458"
2011,3,"27,359","5,053","32,412"
2011,4,"25,052","5,117","30,169"
2011,5,"25,809","5,052","30,861"
2011,6,"27,382","4,942","32,324"
2011,7,"28,530","5,227","33,757"
2011,8,"28,180","5,051","33,231"
2011,9,"24,571","4,629","29,200"
2011,10,"25,040","4,672","29,712"
2011,11,"22,893","4,204","27,097"
2011,12,"23,895","4,688","28,583"
