Passengers (All U.S. Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"48,054,917","4,818,224","52,873,141"
2002,11,"44,850,246","4,576,424","49,426,670"
2002,12,"49,684,353","5,059,421","54,743,774"
2002,TOTAL,"551,899,643","60,878,039","612,777,682"
2003,1,"43,032,450","4,905,830","47,938,280"
2003,2,"41,166,780","4,245,366","45,412,146"
2003,3,"49,992,700","5,008,613","55,001,313"
2003,4,"47,033,260","4,345,444","51,378,704"
2003,5,"49,152,352","4,610,834","53,763,186"
2003,6,"52,209,516","5,411,504","57,621,020"
2003,7,"55,810,773","6,191,120","62,001,893"
2003,8,"53,920,973","6,272,332","60,193,305"
2003,9,"44,213,408","4,824,596","49,038,004"
2003,10,"49,944,931","4,920,822","54,865,753"
2003,11,"47,059,495","4,845,759","51,905,254"
2003,12,"49,757,124","5,358,991","55,116,115"
2003,TOTAL,"583,293,762","60,941,211","644,234,973"
2004,1,"43,815,481","5,255,246","49,070,727"
2004,2,"45,306,597","4,941,629","50,248,226"
2004,3,"54,147,227","5,805,703","59,952,930"
2004,4,"53,253,194","5,664,027","58,917,221"
2004,5,"53,030,873","5,767,517","58,798,390"
2004,6,"56,959,142","6,405,771","63,364,913"
2004,7,"59,614,287","7,183,275","66,797,562"
2004,8,"57,380,873","6,986,797","64,367,670"
2004,9,"47,671,785","5,396,245","53,068,030"
2004,10,"54,167,489","5,629,964","59,797,453"
2004,11,"51,781,700","5,384,214","57,165,914"
2004,12,"52,639,838","6,041,853","58,681,691"
2004,TOTAL,"629,768,486","70,462,241","700,230,727"
2005,1,"47,977,657","6,158,509","54,136,166"
2005,2,"47,074,882","5,499,590","52,574,472"
2005,3,"58,838,975","6,964,313","65,803,288"
2005,4,"54,908,859","6,388,741","61,297,600"
2005,5,"57,323,876","6,575,254","63,899,130"
2005,6,"59,724,061","7,123,126","66,847,187"
2005,7,"62,396,446","7,867,346","70,263,792"
2005,8,"59,110,633","7,419,187","66,529,820"
2005,9,"50,600,325","5,933,841","56,534,166"
2005,10,"53,738,093","5,873,755","59,611,848"
2005,11,"52,766,404","5,644,497","58,410,901"
2005,12,"52,801,276","6,395,022","59,196,298"
2005,TOTAL,"657,261,487","77,843,181","735,104,668"
2006,1,"48,886,043","6,402,933","55,288,976"
2006,2,"47,348,142","5,706,909","53,055,051"
2006,3,"58,286,011","7,221,839","65,507,850"
2006,4,"55,828,555","7,036,629","62,865,184"
2006,5,"57,145,193","6,997,054","64,142,247"
2006,6,"59,297,121","7,625,061","66,922,182"
2006,7,"60,838,606","8,340,003","69,178,609"
2006,8,"58,303,233","7,843,848","66,147,081"
2006,9,"49,949,551","6,189,973","56,139,524"
2006,10,"55,088,983","6,281,017","61,370,000"
2006,11,"53,852,209","6,173,261","60,025,470"
2006,12,"53,538,970","6,917,055","60,456,025"
2006,TOTAL,"658,362,617","82,735,582","741,098,199"
2007,1,"50,022,168","6,854,636","56,876,804"
2007,2,"47,766,421","6,078,593","53,845,014"
2007,3,"59,244,232","7,647,510","66,891,742"
2007,4,"57,396,328","7,233,785","64,630,113"
2007,5,"59,283,597","7,244,944","66,528,541"
2007,6,"61,493,934","7,953,495","69,447,429"
2007,7,"63,457,403","8,696,119","72,153,522"
2007,8,"62,657,667","8,429,481","71,087,148"
2007,9,"52,308,015","6,665,909","58,973,924"
2007,10,"57,206,249","6,734,727","63,940,976"
2007,11,"55,044,206","6,616,131","61,660,337"
2007,12,"53,288,538","7,302,494","60,591,032"
2007,TOTAL,"679,168,758","87,457,824","766,626,582"
2008,1,"50,245,100","7,214,702","57,459,802"
2008,2,"50,118,363","6,691,283","56,809,646"
2008,3,"59,213,077","8,257,253","67,470,330"
2008,4,"55,611,053","7,361,463","62,972,516"
2008,5,"58,047,400","7,747,506","65,794,906"
2008,6,"59,559,171","8,168,145","67,727,316"
2008,7,"61,401,480","8,831,861","70,233,341"
2008,8,"58,966,473","8,629,543","67,596,016"
2008,9,"47,680,001","6,327,854","54,007,855"
2008,10,"52,956,023","6,473,043","59,429,066"
2008,11,"47,658,141","6,167,102","53,825,243"
2008,12,"50,253,658","6,881,238","57,134,896"
2008,TOTAL,"651,709,940","88,750,993","740,460,933"
2009,1,"44,821,711","6,737,730","51,559,441"
2009,2,"43,677,233","5,970,396","49,647,629"
2009,3,"53,531,487","7,227,487","60,758,974"
2009,4,"52,245,401","7,086,357","59,331,758"
2009,5,"52,948,582","6,597,012","59,545,594"
2009,6,"55,898,027","7,460,171","63,358,198"
2009,7,"59,468,957","8,399,115","67,868,072"
2009,8,"56,568,180","8,217,868","64,786,048"
2009,9,"48,235,025","6,219,954","54,454,979"
2009,10,"52,279,405","6,295,084","58,574,489"
2009,11,"48,584,832","6,008,261","54,593,093"
2009,12,"49,793,438","6,892,742","56,686,180"
2009,TOTAL,"618,052,278","83,112,177","701,164,455"
2010,1,"45,501,620","6,816,044","52,317,664"
2010,2,"42,440,614","6,014,415","48,455,029"
2010,3,"54,424,077","7,531,317","61,955,394"
2010,4,"52,498,074","6,941,422","59,439,496"
2010,5,"53,842,422","7,402,599","61,245,021"
2010,6,"56,689,853","8,100,494","64,790,347"
2010,7,"59,142,493","9,052,302","68,194,795"
2010,8,"57,370,748","8,646,519","66,017,267"
2010,9,"50,304,708","6,847,457","57,152,165"
2010,10,"54,826,050","7,072,483","61,898,533"
2010,11,"51,420,350","6,510,189","57,930,539"
2010,12,"51,076,415","7,271,391","58,347,806"
2010,TOTAL,"629,537,424","88,206,632","717,744,056"
2011,1,"46,304,921","7,155,472","53,460,393"
2011,2,"43,657,818","6,205,658","49,863,476"
2011,3,"55,649,428","7,733,473","63,382,901"
2011,4,"52,858,479","7,495,073","60,353,552"
2011,5,"55,982,234","7,671,950","63,654,184"
2011,6,"57,778,699","8,256,632","66,035,331"
2011,7,"60,310,295","9,384,241","69,694,536"
2011,8,"57,403,835","8,677,482","66,081,317"
2011,9,"50,982,170","6,893,283","57,875,453"
2011,10,"54,124,363","6,884,408","61,008,771"
2011,11,"51,660,083","6,431,880","58,091,963"
2011,12,"51,534,907","7,331,513","58,866,420"
2011,TOTAL,"638,247,232","90,121,065","728,368,297"
2012,1,"47,080,430","7,155,733","54,236,163"
2012,2,"46,405,102","6,518,477","52,923,579"
2012,3,"56,200,104","8,059,960","64,260,064"
2012,4,"53,691,455","7,608,446","61,299,901"
2012,5,"55,749,349","7,728,905","63,478,254"
2012,6,"57,903,293","8,509,172","66,412,465"
2012,7,"59,688,267","9,298,946","68,987,213"
2012,8,"58,646,304","8,892,354","67,538,658"
