Load Factor (passenger-miles as a proportion of available seat-miles in percent (%)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,70.86,72.2,71.19
2002,11,69.08,66.83,68.54
2002,12,75.88,71.27,74.83
2002,TOTAL,71.52,75.31,72.43
2003,1,66.25,67.95,66.63
2003,2,69.95,66.61,69.25
2003,3,73.6,70.66,72.97
2003,4,71.39,70.25,71.15
2003,5,74.7,77.01,75.2
2003,6,80.94,84.68,81.82
2003,7,83.7,84.99,84.01
2003,8,81.03,83.04,81.52
2003,9,66.07,76.48,68.62
2003,10,72.63,76.84,73.59
2003,11,70.54,75.32,71.59
2003,12,73.94,78.63,74.98
2003,TOTAL,73.71,76.35,74.31
2004,1,66.86,74,68.4
2004,2,69.77,67.29,69.25
2004,3,75.33,81.2,76.56
2004,4,74.23,78.61,75.26
2004,5,73.43,77.74,74.51
2004,6,81.5,86.63,82.81
2004,7,84.19,86.07,84.67
2004,8,79.41,82.19,80.12
2004,9,68.88,77.99,71.32
2004,10,73.61,78.11,74.69
2004,11,73.57,75.35,73.98
2004,12,73.89,76.62,74.55
2004,TOTAL,74.69,78.92,75.7
2005,1,72.15,75.52,72.97
2005,2,71.97,70.98,71.74
2005,3,81.02,81.68,81.18
2005,4,76.72,79.42,77.39
2005,5,75.93,81.68,77.44
2005,6,82.33,85.94,83.29
2005,7,85.76,85.46,85.67
2005,8,82.02,80.21,81.53
2005,9,73.15,77.06,74.28
2005,10,72.17,76.06,73.23
2005,11,74.36,74.76,74.46
2005,12,75.71,75.9,75.76
2005,TOTAL,77.13,79.03,77.63
2006,1,73.89,73.3,73.72
2006,2,76.09,69.52,74.24
2006,3,81.69,79.28,80.97
2006,4,77.92,79.17,78.3
2006,5,75.74,78.95,76.85
2006,6,84.98,85.4,85.14
2006,7,87.22,85.11,86.43
2006,8,81.65,79.02,80.68
2006,9,74.32,76.91,75.29
2006,10,79.21,74.28,77.42
2006,11,79.08,75.87,78.01
2006,12,78.8,78.01,78.52
2006,TOTAL,79.34,78.42,79.03
2007,1,74.66,74.8,74.71
2007,2,76.79,70.35,74.5
2007,3,85.16,81.72,83.92
2007,4,84.24,78.63,82.15
2007,5,82.96,78.57,81.24
2007,6,88.82,83.54,86.65
