Available Seat-miles (the number of seats and the distance flown in thousands (000)) (Delta Air Lines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"8,332,093","2,766,881","11,098,974"
2002,11,"7,919,522","2,505,819","10,425,340"
2002,12,"8,127,073","2,405,204","10,532,277"
2002,TOTAL,"99,461,315","31,221,978","130,683,293"
2003,1,"8,152,502","2,363,170","10,515,672"
2003,2,"7,127,819","1,886,963","9,014,783"
2003,3,"8,052,021","2,202,747","10,254,768"
2003,4,"7,380,656","1,954,703","9,335,359"
2003,5,"7,302,481","2,022,747","9,325,228"
2003,6,"7,415,623","2,280,425","9,696,048"
2003,7,"7,680,255","2,448,048","10,128,303"
2003,8,"7,824,917","2,536,182","10,361,099"
2003,9,"7,600,587","2,470,132","10,070,719"
2003,10,"7,992,370","2,362,573","10,354,943"
2003,11,"7,759,608","2,186,187","9,945,794"
2003,12,"7,971,250","2,254,221","10,225,471"
2003,TOTAL,"92,260,088","26,968,100","119,228,188"
2004,1,"7,911,945","2,182,615","10,094,561"
2004,2,"7,535,675","2,012,109","9,547,784"
2004,3,"8,324,290","2,203,703","10,527,993"
2004,4,"8,170,122","2,508,628","10,678,750"
2004,5,"8,319,449","2,786,296","11,105,744"
2004,6,"8,277,422","2,844,865","11,122,288"
2004,7,"8,467,006","2,949,557","11,416,563"
2004,8,"8,463,957","2,939,300","11,403,257"
2004,9,"7,645,424","2,799,630","10,445,055"
2004,10,"8,325,119","2,647,622","10,972,741"
2004,11,"8,100,939","2,407,358","10,508,297"
2004,12,"8,228,768","2,649,057","10,877,826"
2004,TOTAL,"97,770,118","30,930,740","128,700,858"
2005,1,"8,053,243","2,589,787","10,643,030"
2005,2,"7,789,674","2,300,354","10,090,028"
2005,3,"8,631,773","2,750,413","11,382,186"
2005,4,"8,342,196","2,786,034","11,128,230"
2005,5,"8,644,347","3,060,103","11,704,450"
2005,6,"8,444,540","3,085,468","11,530,008"
2005,7,"8,721,019","3,248,943","11,969,962"
2005,8,"8,705,676","3,251,066","11,956,742"
2005,9,"7,657,245","3,105,170","10,762,416"
2005,10,"7,882,137","2,921,653","10,803,790"
2005,11,"7,558,117","2,577,621","10,135,738"
2005,12,"7,306,966","2,865,619","10,172,585"
2005,TOTAL,"97,736,934","34,542,231","132,279,165"
