Revenue Passenger-miles (the number of passengers and the distance flown in thousands (000)) (Southwest Airlines - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"3,754,364",,"3,754,364"
2002,11,"3,439,403",,"3,439,403"
2002,12,"3,891,291",,"3,891,291"
2002,TOTAL,"45,397,266",0,"45,397,266"
2003,1,"3,474,326",,"3,474,326"
2003,2,"3,363,428",,"3,363,428"
2003,3,"4,059,191",,"4,059,191"
2003,4,"3,935,024",,"3,935,024"
2003,5,"4,189,524",,"4,189,524"
2003,6,"4,427,485",,"4,427,485"
2003,7,"4,750,318",,"4,750,318"
2003,8,"4,480,716",,"4,480,716"
2003,9,"3,602,650",,"3,602,650"
2003,10,"3,968,193",,"3,968,193"
2003,11,"3,762,069",,"3,762,069"
2003,12,"3,935,309",,"3,935,309"
2003,TOTAL,"47,948,232",0,"47,948,232"
2004,1,"3,456,658",,"3,456,658"
2004,2,"3,660,185",,"3,660,185"
2004,3,"4,676,795",,"4,676,795"
2004,4,"4,689,118",,"4,689,118"
2004,5,"4,681,633",,"4,681,633"
2004,6,"4,956,418",,"4,956,418"
2004,7,"5,197,468",,"5,197,468"
2004,8,"4,986,682",,"4,986,682"
2004,9,"3,981,300",,"3,981,300"
2004,10,"4,504,693",,"4,504,693"
2004,11,"4,293,323",,"4,293,323"
2004,12,"4,339,381",,"4,339,381"
2004,TOTAL,"53,423,655",0,"53,423,655"
2005,1,"4,005,174",,"4,005,174"
2005,2,"3,997,623",,"3,997,623"
2005,3,"5,236,541",,"5,236,541"
2005,4,"4,807,554",,"4,807,554"
2005,5,"5,241,698",,"5,241,698"
2005,6,"5,432,516",,"5,432,516"
2005,7,"5,960,400",,"5,960,400"
2005,8,"5,671,942",,"5,671,942"
2005,9,"4,734,562",,"4,734,562"
2005,10,"5,147,509",,"5,147,509"
2005,11,"4,998,833",,"4,998,833"
2005,12,"4,994,635",,"4,994,635"
2005,TOTAL,"60,228,987",0,"60,228,987"
2006,1,"4,759,328",,"4,759,328"
2006,2,"4,689,999",,"4,689,999"
2006,3,"5,832,625",,"5,832,625"
2006,4,"5,734,094",,"5,734,094"
2006,5,"5,959,988",,"5,959,988"
2006,6,"6,151,375",,"6,151,375"
2006,7,"6,330,623",,"6,330,623"
2006,8,"6,241,206",,"6,241,206"
2006,9,"5,196,914",,"5,196,914"
2006,10,"5,699,554",,"5,699,554"
2006,11,"5,594,810",,"5,594,810"
2006,12,"5,507,054",,"5,507,054"
2006,TOTAL,"67,697,570",0,"67,697,570"
2007,1,"5,179,612",,"5,179,612"
2007,2,"4,845,967",,"4,845,967"
2007,3,"6,084,978",,"6,084,978"
2007,4,"5,922,529",,"5,922,529"
2007,5,"6,268,874",,"6,268,874"
2007,6,"6,829,087",,"6,829,087"
2007,7,"7,049,832",,"7,049,832"
2007,8,"6,996,146",,"6,996,146"
2007,9,"5,641,492",,"5,641,492"
2007,10,"6,034,766",,"6,034,766"
2007,11,"5,743,016",,"5,743,016"
2007,12,"5,729,062",,"5,729,062"
2007,TOTAL,"72,325,362",0,"72,325,362"
2008,1,"5,485,755",,"5,485,755"
2008,2,"5,427,923",,"5,427,923"
2008,3,"6,679,996",,"6,679,996"
2008,4,"6,261,889",,"6,261,889"
2008,5,"6,673,213",,"6,673,213"
2008,6,"6,878,063",,"6,878,063"
